TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Diabetes
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"220930 SANTA LUZ";-;-;1;1
"220935 SANTANA DO PIAUI";-;-;1;1
"220937 SANTA ROSA DO PIAUI";1;-;-;1
"220940 SANTO ANTONIO DE LISBOA";-;-;1;1
"220970 SAO FRANCISCO DO PIAUI";1;-;-;1
"220985 SAO JOAO DA CANABRAVA";1;-;-;1
"220987 SAO JOAO DA FRONTEIRA";1;-;2;3
"220995 SAO JOAO DA VARJOTA";-;-;1;1
"221000 SAO JOAO DO PIAUI";-;-;2;2
"221005 SAO JOSE DO DIVINO";-;-;2;2
"221010 SAO JOSE DO PEIXE";-;-;1;1
"221020 SAO JOSE DO PIAUI";-;-;1;1
"221030 SAO JULIAO";-;-;3;3
"221040 SAO MIGUEL DO TAPUIO";-;1;5;6
"221050 SAO PEDRO DO PIAUI";-;1;-;1
"221060 SAO RAIMUNDO NONATO";-;-;4;4
"221065 SIGEFREDO PACHECO";-;-;1;1
"221070 SIMOES";1;1;6;8
"221080 SIMPLICIO MENDES";-;-;1;1
"221093 SUSSUAPARA";-;-;2;2
"221095 TAMBORIL DO PIAUI";1;-;-;1
"221100 TERESINA";23;56;452;531
"221110 UNIAO";-;1;7;8
"221120 URUCUI";-;-;6;6
"221130 VALENCA DO PIAUI";-;2;2;4
"221170 WALL FERRAZ";-;-;1;1
"230015 ACARAPE";-;1;5;6
"230020 ACARAU";1;1;17;19
"230030 ACOPIARA";-;1;9;10
"230040 AIUABA";-;-;2;2
"230050 ALCANTARAS";-;-;1;1
"230060 ALTANEIRA";-;-;3;3
"230070 ALTO SANTO";-;-;2;2
"230075 AMONTADA";-;-;7;7
"230090 APUIARES";1;2;4;7
"230100 AQUIRAZ";-;1;21;22
"230110 ARACATI";1;2;11;14
"230120 ARACOIABA";-;-;9;9
"230125 ARARENDA";-;-;1;1
"230130 ARARIPE";-;-;1;1
"230150 ARNEIROZ";-;-;1;1
"230160 ASSARE";-;-;1;1
"230170 AURORA";4;1;10;15
"230180 BAIXIO";-;-;1;1
"230185 BANABUIU";-;-;1;1
"230190 BARBALHA";-;5;16;21
"230195 BARREIRA";-;-;1;1
"230200 BARRO";-;1;3;4
"230205 BARROQUINHA";-;-;5;5
"230210 BATURITE";-;2;7;9
"230220 BEBERIBE";-;1;9;10
"230230 BELA CRUZ";-;-;6;6
"230240 BOA VIAGEM";1;-;8;9
"230250 BREJO SANTO";-;-;7;7
"230260 CAMOCIM";-;3;13;16
"230270 CAMPOS SALES";-;-;5;5
"230280 CANINDE";-;2;17;19
"230290 CAPISTRANO";-;-;1;1
"230300 CARIDADE";-;-;3;3
"230310 CARIRE";-;-;5;5
"230320 CARIRIACU";1;-;2;3
"230330 CARIUS";-;-;4;4
"230340 CARNAUBAL";-;-;6;6
"230350 CASCAVEL";-;1;18;19
"230365 CATUNDA";-;-;2;2
"230370 CAUCAIA";-;12;199;211
"230380 CEDRO";-;-;5;5
"230390 CHAVAL";-;1;4;5
"230393 CHORO";-;-;3;3
"230395 CHOROZINHO";1;-;6;7
"230400 COREAU";1;-;6;7
"230410 CRATEUS";7;-;21;28
"230420 CRATO";1;4;38;43
"230423 CROATA";-;-;3;3
"230425 CRUZ";-;-;2;2
"230426 DEPUTADO IRAPUAN PINHEIRO";-;-;2;2
"230427 ERERE";-;-;1;1
"230428 EUSEBIO";2;5;22;29
"230430 FARIAS BRITO";-;-;5;5
"230435 FORQUILHA";-;2;12;14
"230440 FORTALEZA";179;144;1798;2121
"230450 FRECHEIRINHA";1;1;6;8
"230460 GENERAL SAMPAIO";-;-;5;5
"230465 GRACA";4;1;7;12
"230470 GRANJA";-;-;8;8
"230490 GROAIRAS";-;-;6;6
"230495 GUAIUBA";-;1;10;11
"230500 GUARACIABA DO NORTE";-;-;7;7
"230510 GUARAMIRANGA";1;-;1;2
"230520 HIDROLANDIA";-;2;11;13
"230523 HORIZONTE";-;-;18;18
"230526 IBARETAMA";1;-;2;3
"230530 IBIAPINA";-;-;3;3
"230533 IBICUITINGA";-;1;1;2
"230535 ICAPUI";1;-;2;3
"230540 ICO";-;2;16;18
"230550 IGUATU";-;1;14;15
"230560 INDEPENDENCIA";1;-;4;5
"230565 IPAPORANGA";1;-;2;3
"230570 IPAUMIRIM";-;1;2;3
"230580 IPU";-;1;10;11
"230590 IPUEIRAS";-;1;15;16
"230600 IRACEMA";-;-;1;1
"230610 IRAUCUBA";-;-;5;5
"230620 ITAICABA";-;1;2;3
"230625 ITAITINGA";8;3;102;113
"230630 ITAPAGE";-;3;34;37
"230640 ITAPIPOCA";-;1;45;46
"230650 ITAPIUNA";-;-;3;3
"230655 ITAREMA";-;-;7;7
"230660 ITATIRA";1;-;-;1
"230670 JAGUARETAMA";-;-;1;1
"230690 JAGUARIBE";1;-;5;6
"230700 JAGUARUANA";-;-;4;4
"230710 JARDIM";2;-;7;9
"230725 JIJOCA DE JERICOACOARA";-;1;2;3
"230730 JUAZEIRO DO NORTE";28;8;47;83
"230740 JUCAS";-;1;4;5
"230750 LAVRAS DA MANGABEIRA";-;-;9;9
"230760 LIMOEIRO DO NORTE";-;-;11;11
"230763 MADALENA";-;-;1;1
"230765 MARACANAU";10;17;193;220
"230770 MARANGUAPE";-;2;37;39
"230780 MARCO";1;1;6;8
"230790 MARTINOPOLE";-;1;4;5
"230800 MASSAPE";1;-;14;15
"230810 MAURITI";4;1;1;6
"230820 MERUOCA";-;-;2;2
"230830 MILAGRES";9;-;7;16
"230835 MILHA";-;1;-;1
"230837 MIRAIMA";1;-;-;1
"230840 MISSAO VELHA";8;-;3;11
"230850 MOMBACA";-;-;5;5
"230860 MONSENHOR TABOSA";-;-;6;6
"230870 MORADA NOVA";-;-;12;12
"230880 MORAUJO";-;1;2;3
"230890 MORRINHOS";6;-;5;11
"230900 MUCAMBO";-;1;7;8
"230920 NOVA OLINDA";-;-;2;2
"230930 NOVA RUSSAS";-;1;12;13
"230940 NOVO ORIENTE";-;1;10;11
"230945 OCARA";2;2;10;14
"230950 OROS";1;-;3;4
"230960 PACAJUS";-;1;29;30
"230970 PACATUBA";1;3;27;31
"230990 PACUJA";-;-;2;2
"231000 PALHANO";-;-;1;1
"231010 PALMACIA";-;-;1;1
"231020 PARACURU";-;-;14;14
"231025 PARAIPABA";-;1;13;14
"231030 PARAMBU";1;-;2;3
"231040 PARAMOTI";1;-;1;2
"231050 PEDRA BRANCA";-;-;8;8
"231060 PENAFORTE";-;-;1;1
"231070 PENTECOSTE";-;-;5;5
"231085 PINDORETAMA";-;-;13;13
"231090 PIQUET CARNEIRO";-;-;2;2
"231095 PIRES FERREIRA";-;1;3;4
"231100 PORANGA";1;-;2;3
"231110 PORTEIRAS";1;-;1;2
"231123 POTIRETAMA";-;1;-;1
"231126 QUITERIANOPOLIS";-;-;2;2
"231130 QUIXADA";2;1;32;35
"231135 QUIXELO";1;-;3;4
"231140 QUIXERAMOBIM";-;1;12;13
"231150 QUIXERE";1;-;-;1
"231160 REDENCAO";-;-;3;3
"231170 RERIUTABA";-;-;11;11
"231180 RUSSAS";1;2;15;18
"231190 SABOEIRO";-;-;4;4
"231195 SALITRE";-;1;1;2
"231200 SANTANA DO ACARAU";1;2;15;18
"231210 SANTANA DO CARIRI";-;-;1;1
"231220 SANTA QUITERIA";-;3;15;18
"231230 SAO BENEDITO";-;2;10;12
"231240 SAO GONCALO DO AMARANTE";3;-;16;19
"231260 SAO LUIS DO CURU";-;2;9;11
"231270 SENADOR POMPEU";-;-;8;8
"231280 SENADOR SA";-;-;2;2
"231290 SOBRAL";22;5;152;179
"231300 SOLONOPOLE";1;-;2;3
"231310 TABULEIRO DO NORTE";1;-;3;4
"231320 TAMBORIL";-;-;6;6
"231330 TAUA";-;1;10;11
"231335 TEJUCUOCA";4;1;3;8
"231340 TIANGUA";2;-;12;14
"231350 TRAIRI";-;1;21;22
"231355 TURURU";-;1;3;4
"231360 UBAJARA";-;2;6;8
"231370 UMARI";-;-;3;3
"231375 UMIRIM";-;-;10;10
"231380 URUBURETAMA";-;1;6;7
"231390 URUOCA";1;-;5;6
"231395 VARJOTA";-;-;3;3
"231400 VARZEA ALEGRE";1;1;1;3
"231410 VICOSA DO CEARA";-;-;8;8
"240020 ACU";-;2;11;13
"240030 AFONSO BEZERRA";-;-;3;3
"240040 AGUA NOVA";1;-;1;2
"240050 ALEXANDRIA";-;-;1;1
"240080 ANGICOS";-;-;3;3
"240100 APODI";2;2;4;8
"240110 AREIA BRANCA";-;1;3;4
"240120 ARES";-;-;1;1
"240130 AUGUSTO SEVERO";-;-;3;3
"240145 BARAUNA";-;-;2;2
"240150 BARCELONA";-;-;2;2
"240160 BENTO FERNANDES";-;-;1;1
"240200 CAICO";1;1;26;28
"240210 CAMPO REDONDO";-;-;1;1
"240220 CANGUARETAMA";1;-;4;5
"240230 CARAUBAS";-;-;7;7
"240250 CARNAUBAIS";-;-;1;1
"240260 CEARA-MIRIM";5;1;10;16
"240270 CERRO CORA";-;-;1;1
"240310 CURRAIS NOVOS";2;1;8;11
"240325 PARNAMIRIM";12;4;30;46
"240340 EQUADOR";-;-;1;1
"240350 ESPIRITO SANTO";1;-;-;1
"240360 EXTREMOZ";3;-;2;5
"240370 FELIPE GUERRA";1;-;2;3
"240375 FERNANDO PEDROZA";-;-;1;1
"240380 FLORANIA";1;-;-;1
"240390 FRANCISCO DANTAS";-;-;1;1
"240420 GOIANINHA";-;-;1;1
"240430 GOVERNADOR DIX-SEPT ROSADO";1;-;1;2
"240440 GROSSOS";-;-;1;1
"240450 GUAMARE";-;-;4;4
"240470 IPANGUACU";-;-;4;4
"240485 ITAJA";1;1;-;2
"240490 ITAU";-;1;1;2
"240500 JACANA";-;-;1;1
"240510 JANDAIRA";-;-;2;2
"240520 JANDUIS";-;-;1;1
"240580 JOAO CAMARA";1;-;1;2
"240610 JUCURUTU";-;-;2;2
"240615 JUNDIA";-;-;1;1
"240650 LAGOA NOVA";1;-;-;1
"240710 MACAIBA";1;2;23;26
"240720 MACAU";-;-;6;6
"240740 MARTINS";-;-;1;1
"240750 MAXARANGUAPE";-;-;1;1
"240760 MESSIAS TARGINO";1;1;1;3
"240780 MONTE ALEGRE";-;-;2;2
"240800 MOSSORO";10;4;72;86
"240810 NATAL";246;52;369;667
"240820 NISIA FLORESTA";2;-;-;2
"240830 NOVA CRUZ";-;1;4;5
"240840 OLHO-D'AGUA DO BORGES";-;-;1;1
"240890 PARELHAS";-;-;6;6
"240895 RIO DO FOGO";-;-;2;2
"240910 PASSA E FICA";-;1;1;2
"240930 PATU";-;-;2;2
"240940 PAU DOS FERROS";-;-;2;2
"240950 PEDRA GRANDE";-;-;1;1
"240980 PEDRO VELHO";-;-;4;4
"240990 PENDENCIAS";-;-;2;2
"241010 POCO BRANCO";-;1;2;3
"241025 PORTO DO MANGUE";-;-;2;2
"241030 SERRA CAIADA";-;-;1;1
"241040 PUREZA";1;-;1;2
"241080 RIACHO DE SANTANA";-;-;1;1
"241100 RODOLFO FERNANDES";-;-;1;1
"241120 SANTA CRUZ";2;-;2;4
"241140 SANTANA DO MATOS";-;-;4;4
"241142 SANTANA DO SERIDO";-;-;1;1
"241150 SANTO ANTONIO";-;1;4;5
"241170 SAO BENTO DO TRAIRI";-;-;1;1
"241200 SAO GONCALO DO AMARANTE";1;1;28;30
"241220 SAO JOSE DE MIPIBU";1;-;5;6
"241230 SAO JOSE DO CAMPESTRE";-;-;2;2
"241240 SAO JOSE DO SERIDO";-;-;2;2
"241250 SAO MIGUEL";-;-;1;1
"241255 SAO MIGUEL DO GOSTOSO";-;1;2;3
"241260 SAO PAULO DO POTENGI";-;-;2;2
"241280 SAO RAFAEL";1;-;-;1
"241290 SAO TOME";-;-;1;1
"241335 SERRA DO MEL";-;-;2;2
"241340 SERRA NEGRA DO NORTE";1;-;2;3
"241350 SERRINHA";1;-;-;1
"241360 SEVERIANO MELO";1;-;-;1
"241380 TABOLEIRO GRANDE";1;-;2;3
"241400 TANGARA";-;1;-;1
"241420 TIBAU DO SUL";-;-;2;2
"241440 TOUROS";-;-;2;2
"241450 UMARIZAL";-;-;1;1
"241460 UPANEMA";-;-;1;1
"250010 AGUA BRANCA";-;-;1;1
"250030 ALAGOA GRANDE";-;-;8;8
"250040 ALAGOA NOVA";-;-;4;4
"250050 ALAGOINHA";-;-;1;1
"250053 ALCANTIL";-;-;1;1
"250057 ALGODAO DE JANDAIRA";1;-;2;3
"250060 ALHANDRA";2;-;-;2
"250077 APARECIDA";1;1;-;2
"250080 ARACAGI";-;-;4;4
"250090 ARARA";1;-;-;1
"250100 ARARUNA";-;-;2;2
"250110 AREIA";-;-;1;1
"250130 AROEIRAS";2;-;1;3
"250135 ASSUNCAO";1;-;-;1
"250157 BARRA DE SANTANA";-;-;2;2
"250160 BARRA DE SANTA ROSA";-;-;3;3
"250180 BAYEUX";1;-;22;23
"250190 BELEM";-;-;4;4
"250200 BELEM DO BREJO DO CRUZ";-;-;1;1
"250205 BERNARDINO BATISTA";-;-;2;2
"250210 BOA VENTURA";-;-;1;1
"250220 BOM JESUS";-;-;1;1
"250240 BONITO DE SANTA FE";1;-;1;2
"250250 BOQUEIRAO";-;-;1;1
"250260 IGARACY";1;-;-;1
"250290 BREJO DOS SANTOS";-;-;2;2
"250320 CABEDELO";-;1;17;18
"250350 CACIMBA DE DENTRO";-;-;1;1
"250355 CACIMBAS";1;-;2;3
"250360 CAICARA";1;-;1;2
"250370 CAJAZEIRAS";10;3;10;23
"250390 CAMALAU";-;-;1;1
"250400 CAMPINA GRANDE";6;5;131;142
"250410 CARRAPATEIRA";-;-;1;1
"250420 CATINGUEIRA";-;-;1;1
"250430 CATOLE DO ROCHA";-;-;5;5
"250440 CONCEICAO";1;-;-;1
"250460 CONDE";1;-;3;4
"250480 COREMAS";1;2;2;5
"250490 CRUZ DO ESPIRITO SANTO";1;-;-;1
"250510 CUITE";-;-;2;2
"250520 CUITEGI";-;-;2;2
"250527 CURRAL DE CIMA";1;-;-;1
"250540 DESTERRO";-;-;4;4
"250550 VISTA SERRANA";-;-;1;1
"250560 DIAMANTE";1;-;-;1
"250580 DUAS ESTRADAS";-;-;2;2
"250590 EMAS";1;-;-;1
"250600 ESPERANCA";-;1;7;8
"250610 FAGUNDES";-;-;1;1
"250630 GUARABIRA";-;1;17;18
"250660 IBIARA";-;-;2;2
"250670 IMACULADA";3;-;1;4
"250680 INGA";3;-;7;10
"250690 ITABAIANA";1;1;1;3
"250700 ITAPORANGA";1;-;2;3
"250730 JACARAU";2;-;-;2
"250750 JOAO PESSOA";21;50;680;751
"250760 JUAREZ TAVORA";-;-;1;1
"250770 JUAZEIRINHO";-;-;5;5
"250780 JUNCO DO SERIDO";1;-;-;1
"250820 LAGOA DE DENTRO";-;-;3;3
"250830 LAGOA SECA";1;-;-;1
"250850 LIVRAMENTO";-;-;1;1
"250880 MALTA";-;-;6;6
"250890 MAMANGUAPE";-;-;4;4
"250900 MANAIRA";-;-;2;2
"250905 MARCACAO";-;-;2;2
"250910 MARI";-;-;3;3
"250915 MARIZOPOLIS";-;-;1;1
"250930 MATARACA";1;-;-;1
"250937 MATO GROSSO";2;-;-;2
"250939 MATUREIA";1;-;1;2
"250970 MONTEIRO";1;-;2;3
"251010 NOVA FLORESTA";-;1;-;1
"251020 NOVA OLINDA";-;-;2;2
"251040 OLHO D'AGUA";1;-;-;1
"251080 PATOS";2;1;30;33
"251090 PAULISTA";-;-;2;2
"251110 PEDRA LAVRADA";-;-;1;1
"251120 PEDRAS DE FOGO";-;-;1;1
"251130 PIANCO";-;-;3;3
"251140 PICUI";-;1;2;3
"251150 PILAR";1;-;1;2
"251160 PILOES";2;-;1;3
"251170 PILOEZINHOS";-;-;1;1
"251180 PIRPIRITUBA";-;-;1;1
"251190 PITIMBU";-;-;1;1
"251210 POMBAL";-;3;3;6
"251230 PRINCESA ISABEL";-;-;4;4
"251250 QUEIMADAS";2;-;5;7
"251260 QUIXABA";-;-;1;1
"251270 REMIGIO";-;1;1;2
"251278 RIACHO DE SANTO ANTONIO";-;-;1;1
"251280 RIACHO DOS CAVALOS";-;-;1;1
"251290 RIO TINTO";1;1;3;5
"251300 SALGADINHO";-;-;1;1
"251340 SANTA LUZIA";1;-;-;1
"251360 SANTANA DOS GARROTES";-;-;2;2
"251370 SANTA RITA";5;1;20;26
"251390 SAO BENTO";3;1;3;7
"251392 SAO BENTINHO";-;-;1;1
"251400 SAO JOAO DO CARIRI";1;-;-;1
"251420 SAO JOSE DA LAGOA TAPADA";-;-;1;1
"251440 SAO JOSE DE ESPINHARAS";2;-;1;3
"251450 SAO JOSE DE PIRANHAS";2;-;1;3
"251490 SAO MAMEDE";-;-;1;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;1;-;1
"251530 SAPE";1;1;6;8
"251550 SERRA BRANCA";-;1;3;4
"251593 SERTAOZINHO";-;-;1;1
"251597 SOBRADO";-;-;1;1
"251610 SOLEDADE";2;1;4;7
"251620 SOUSA";14;2;8;24
"251630 SUME";-;1;1;2
"251650 TAPEROA";2;-;1;3
"251660 TAVARES";-;-;1;1
"251670 TEIXEIRA";-;1;4;5
"251680 TRIUNFO";-;-;1;1
"251690 UIRAUNA";-;-;1;1
"260005 ABREU E LIMA";40;4;35;79
"260010 AFOGADOS DA INGAZEIRA";-;-;4;4
"260020 AFRANIO";1;-;2;3
"260030 AGRESTINA";2;-;1;3
"260040 AGUA PRETA";6;-;2;8
"260050 AGUAS BELAS";-;-;4;4
"260060 ALAGOINHA";-;1;-;1
"260070 ALIANCA";1;-;10;11
"260080 ALTINHO";-;-;3;3
"260090 AMARAJI";1;1;2;4
"260100 ANGELIM";2;1;1;4
"260105 ARACOIABA";1;-;1;2
"260110 ARARIPINA";3;-;5;8
"260120 ARCOVERDE";9;-;7;16
"260130 BARRA DE GUABIRABA";1;-;2;3
"260140 BARREIROS";9;1;10;20
"260160 BELEM DE SAO FRANCISCO";-;-;5;5
"260170 BELO JARDIM";-;-;5;5
"260180 BETANIA";-;-;1;1
"260190 BEZERROS";3;-;6;9
"260200 BODOCO";3;-;5;8
"260210 BOM CONSELHO";2;1;2;5
"260220 BOM JARDIM";-;1;2;3
"260230 BONITO";-;1;7;8
"260260 BREJO DA MADRE DE DEUS";1;-;5;6
"260270 BUENOS AIRES";1;-;2;3
"260280 BUIQUE";1;1;-;2
"260290 CABO DE SANTO AGOSTINHO";23;19;87;129
"260300 CABROBO";-;-;5;5
"260310 CACHOEIRINHA";-;1;5;6
"260320 CAETES";-;-;2;2
"260330 CALCADO";-;1;-;1
"260340 CALUMBI";1;-;-;1
"260345 CAMARAGIBE";27;6;14;47
"260360 CAMUTANGA";3;-;-;3
"260370 CANHOTINHO";3;2;6;11
"260380 CAPOEIRAS";1;-;-;1
"260390 CARNAIBA";-;-;2;2
"260400 CARPINA";6;3;24;33
"260410 CARUARU";-;15;100;115
"260415 CASINHAS";-;-;2;2
"260420 CATENDE";-;2;5;7
"260430 CEDRO";-;-;3;3
"260440 CHA DE ALEGRIA";-;1;5;6
"260450 CHA GRANDE";1;-;3;4
"260460 CONDADO";2;1;6;9
"260470 CORRENTES";1;-;3;4
"260480 CORTES";1;-;-;1
"260500 CUPIRA";3;-;3;6
"260510 CUSTODIA";-;1;8;9
"260515 DORMENTES";3;-;1;4
"260520 ESCADA";10;-;7;17
"260530 EXU";-;-;8;8
"260540 FEIRA NOVA";-;1;-;1
"260550 FERREIROS";1;-;1;2
"260560 FLORES";-;-;3;3
"260570 FLORESTA";1;-;4;5
"260580 FREI MIGUELINHO";1;-;1;2
"260590 GAMELEIRA";1;3;8;12
"260600 GARANHUNS";-;4;25;29
"260610 GLORIA DO GOITA";-;1;-;1
"260620 GOIANA";10;3;17;30
"260630 GRANITO";-;1;3;4
"260640 GRAVATA";3;1;6;10
"260650 IATI";-;-;2;2
"260660 IBIMIRIM";-;-;1;1
"260670 IBIRAJUBA";-;-;1;1
"260680 IGARASSU";10;3;30;43
"260700 INAJA";-;-;2;2
"260720 IPOJUCA";3;5;24;32
"260730 IPUBI";-;1;6;7
"260760 ILHA DE ITAMARACA";9;4;87;100
"260765 ITAMBE";-;3;6;9
"260770 ITAPETIM";1;-;2;3
"260775 ITAPISSUMA";25;2;41;68
"260780 ITAQUITINGA";3;-;-;3
"260790 JABOATAO DOS GUARARAPES";29;33;273;335
"260795 JAQUEIRA";-;1;1;2
"260800 JATAUBA";-;-;3;3
"260805 JATOBA";-;-;3;3
"260810 JOAO ALFREDO";-;-;7;7
"260820 JOAQUIM NABUCO";-;-;1;1
"260830 JUPI";-;-;1;1
"260840 JUREMA";-;-;4;4
"260845 LAGOA DO CARRO";4;-;3;7
"260850 LAGOA DE ITAENGA";-;-;3;3
"260860 LAGOA DO OURO";-;-;1;1
"260870 LAGOA DOS GATOS";1;-;-;1
"260875 LAGOA GRANDE";-;-;8;8
"260880 LAJEDO";2;2;4;8
"260890 LIMOEIRO";-;1;48;49
"260900 MACAPARANA";-;-;3;3
"260915 MANARI";-;-;4;4
"260920 MARAIAL";-;1;1;2
"260930 MIRANDIBA";-;-;6;6
"260940 MORENO";2;1;5;8
"260950 NAZARE DA MATA";2;-;8;10
"260960 OLINDA";31;25;216;272
"260970 OROBO";1;-;8;9
"260980 OROCO";1;-;1;2
"260990 OURICURI";2;-;21;23
"261000 PALMARES";7;3;24;34
"261010 PALMEIRINA";-;-;2;2
"261020 PANELAS";-;-;1;1
"261030 PARANATAMA";-;-;1;1
"261040 PARNAMIRIM";-;-;4;4
"261050 PASSIRA";1;-;1;2
"261060 PAUDALHO";3;1;14;18
"261070 PAULISTA";25;17;121;163
"261080 PEDRA";-;-;4;4
"261090 PESQUEIRA";1;1;14;16
"261100 PETROLANDIA";3;-;5;8
"261110 PETROLINA";4;5;75;84
"261130 POMBOS";-;1;5;6
"261140 PRIMAVERA";1;1;2;4
"261150 QUIPAPA";-;-;1;1
"261153 QUIXABA";-;-;1;1
"261160 RECIFE";440;198;2000;2638
"261170 RIACHO DAS ALMAS";-;-;3;3
"261180 RIBEIRAO";1;-;7;8
"261190 RIO FORMOSO";-;-;8;8
"261200 SAIRE";-;-;1;1
"261210 SALGADINHO";-;-;1;1
"261220 SALGUEIRO";12;2;24;38
"261230 SALOA";-;-;3;3
"261240 SANHARO";-;-;5;5
"261250 SANTA CRUZ DO CAPIBARIBE";3;2;14;19
"261260 SANTA MARIA DA BOA VISTA";1;-;5;6
"261270 SANTA MARIA DO CAMBUCA";-;-;2;2
"261290 SAO BENEDITO DO SUL";-;1;1;2
"261300 SAO BENTO DO UNA";-;1;5;6
"261320 SAO JOAO";-;-;3;3
"261330 SAO JOAQUIM DO MONTE";-;-;2;2
"261340 SAO JOSE DA COROA GRANDE";1;2;5;8
"261350 SAO JOSE DO BELMONTE";1;-;4;5
"261360 SAO JOSE DO EGITO";-;1;6;7
"261370 SAO LOURENCO DA MATA";8;3;47;58
"261380 SAO VICENTE FERRER";-;-;2;2
"261390 SERRA TALHADA";-;3;10;13
"261400 SERRITA";2;-;-;2
"261410 SERTANIA";-;-;1;1
"261420 SIRINHAEM";4;1;4;9
"261430 MOREILANDIA";-;-;1;1
"261450 SURUBIM";-;-;6;6
"261460 TABIRA";2;-;7;9
"261480 TACARATU";-;-;2;2
"261485 TAMANDARE";2;-;12;14
"261500 TAQUARITINGA DO NORTE";-;2;3;5
"261520 TERRA NOVA";1;-;-;1
"261530 TIMBAUBA";-;-;25;25
"261540 TORITAMA";-;-;3;3
"261550 TRACUNHAEM";2;-;1;3
"261560 TRINDADE";-;-;4;4
"261570 TRIUNFO";-;-;1;1
"261580 TUPANATINGA";-;-;2;2
"261590 TUPARETAMA";-;-;1;1
"261600 VENTUROSA";-;-;5;5
"261610 VERDEJANTE";-;-;2;2
"261620 VERTENTES";-;-;5;5
"261630 VICENCIA";-;-;9;9
"261640 VITORIA DE SANTO ANTAO";10;2;56;68
"261650 XEXEU";-;-;4;4
"270010 AGUA BRANCA";-;-;1;1
"270020 ANADIA";1;-;3;4
"270030 ARAPIRACA";1;10;108;119
"270040 ATALAIA";3;-;15;18
"270050 BARRA DE SANTO ANTONIO";-;-;2;2
"270060 BARRA DE SAO MIGUEL";1;-;-;1
"270070 BATALHA";-;-;6;6
"270080 BELEM";-;1;-;1
"270100 BOCA DA MATA";1;1;-;2
"270110 BRANQUINHA";-;-;4;4
"270120 CACIMBINHAS";-;1;2;3
"270130 CAJUEIRO";-;1;6;7
"270140 CAMPO ALEGRE";2;1;21;24
"270170 CAPELA";-;1;8;9
"270180 CARNEIROS";-;-;2;2
"270200 COITE DO NOIA";-;-;1;1
"270210 COLONIA LEOPOLDINA";-;-;1;1
"270220 COQUEIRO SECO";-;-;1;1
"270230 CORURIPE";1;1;12;14
"270235 CRAIBAS";-;-;4;4
"270240 DELMIRO GOUVEIA";1;2;1;4
"270250 DOIS RIACHOS";-;-;2;2
"270255 ESTRELA DE ALAGOAS";-;-;6;6
"270280 FLEXEIRAS";-;-;1;1
"270290 GIRAU DO PONCIANO";-;-;3;3
"270310 IGACI";-;-;5;5
"270320 IGREJA NOVA";-;-;4;4
"270330 INHAPI";-;1;1;2
"270350 JACUIPE";-;-;1;1
"270360 JAPARATINGA";-;1;-;1
"270370 JARAMATAIA";1;-;1;2
"270375 JEQUIA DA PRAIA";1;-;2;3
"270380 JOAQUIM GOMES";4;-;3;7
"270390 JUNDIA";1;-;-;1
"270400 JUNQUEIRO";-;1;4;5
"270410 LAGOA DA CANOA";-;-;1;1
"270420 LIMOEIRO DE ANADIA";-;-;4;4
"270430 MACEIO";78;49;588;715
"270440 MAJOR ISIDORO";1;-;6;7
"270450 MARAGOGI";-;-;3;3
"270460 MARAVILHA";-;-;1;1
"270470 MARECHAL DEODORO";11;1;7;19
"270480 MARIBONDO";-;1;1;2
"270490 MAR VERMELHO";-;1;-;1
"270510 MATRIZ DE CAMARAGIBE";-;-;5;5
"270520 MESSIAS";1;-;3;4
"270530 MINADOR DO NEGRAO";-;-;1;1
"270540 MONTEIROPOLIS";-;-;2;2
"270550 MURICI";-;-;8;8
"270560 NOVO LINO";-;-;4;4
"270570 OLHO D'AGUA DAS FLORES";-;-;4;4
"270590 OLHO D'AGUA GRANDE";1;-;-;1
"270600 OLIVENCA";-;-;1;1
"270610 OURO BRANCO";1;-;-;1
"270630 PALMEIRA DOS INDIOS";1;5;29;35
"270640 PAO DE ACUCAR";-;2;1;3
"270642 PARICONHA";-;-;1;1
"270650 PASSO DE CAMARAGIBE";-;-;2;2
"270670 PENEDO";8;2;14;24
"270680 PIACABUCU";1;-;11;12
"270690 PILAR";2;-;15;17
"270700 PINDOBA";-;-;1;1
"270710 PIRANHAS";1;-;11;12
"270720 POCO DAS TRINCHEIRAS";-;-;1;1
"270730 PORTO CALVO";-;1;5;6
"270740 PORTO DE PEDRAS";1;1;-;2
"270750 PORTO REAL DO COLEGIO";-;-;1;1
"270760 QUEBRANGULO";1;-;3;4
"270770 RIO LARGO";17;1;13;31
"270780 ROTEIRO";-;-;2;2
"270790 SANTA LUZIA DO NORTE";-;1;2;3
"270800 SANTANA DO IPANEMA";-;-;17;17
"270810 SANTANA DO MUNDAU";-;-;2;2
"270830 SAO JOSE DA LAJE";-;1;7;8
"270840 SAO JOSE DA TAPERA";-;-;5;5
"270850 SAO LUIS DO QUITUNDE";-;2;12;14
"270860 SAO MIGUEL DOS CAMPOS";1;1;39;41
"270870 SAO MIGUEL DOS MILAGRES";-;-;1;1
"270880 SAO SEBASTIAO";-;-;3;3
"270890 SATUBA";1;2;7;10
